Sample_ID;Sample;Deposit;Nature;Zone;Class;CL;F_pct;Si_pct;Mg_pct;Na_pct;Ca_pct;P_pct;Cl_pct;Fe_pct;Mn_pct;Ce_pct;La_pct;Nd_pct;B_ppm;Mg_ppm;Si_ppm;P_ppm;Ca_ppm;Sc_ppm;Ti_ppm;V_ppm;Mn_ppm;Fe_ppm;Ga_ppm;Ge_ppm;As_ppm;Rb_ppm;Sr_ppm;Y_ppm;Zr_ppm;Nb_ppm;Ba_ppm;La_ppm;Ce_ppm;Pr_ppm;Nd_ppm;Sm_ppm;Eu_ppm;Gd_ppm;Tb_ppm;Dy_ppm;Ho_ppm;Er_ppm;Tm_ppm;Yb_ppm;Lu_ppm;Hf_ppm;Ta_ppm;Pb_ppm;Th232_ppm;U238_ppm;;U238_ppm
B6_ap_1_1;B6;X1 deposit;Hydrothermal;Hydrothermal;X1 deposit;CL-green;3.5127;0.082783624;0.02327966;0.267737274;37.75924481;17.56219543;0.1024;0.248972393;0.8364168;0.189764379;0.056191612;0.0771615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B6_ap_1_2;B6;X1 deposit;Hydrothermal;Hydrothermal;X1 deposit;CL-green;4.0384;0.112512808;0.04149328;0.198002434;37.67576785;17.82142891;0.1002;0.187798096;1.018492346;0.236248918;0.062416176;0.109483595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B6_ap_2_1;B6;X1 deposit;Hydrothermal;Hydrothermal;X1 deposit;CL-green;3.6377;0.031224992;0.0331705;0.24518473;37.56713345;17.49228095;0.152;0.291413519;1.093305182;0.155246963;0.047153204;0.11471343;3.05;389.43;2760.73;157416.05;375620.75;3.84;811.01;5.31;11560.24;2344.03;0.165;83.56;10.02;0.73;337.41;4575.82;1.78;0.0885;1.65;584.79;1764.89;280.54;1447.9;520.88;30.88;617.64;120.87;822.52;175.38;496.77;74.46;565.48;72.04;3.64;0.145;9.62;27.59;24.3;;34.39
B6_ap_3_1;B6;X1 deposit;Hydrothermal;Hydrothermal;X1 deposit;CL-green;3.845;0.077782016;0.04450878;0.244368684;37.25423779;17.87964734;0.1912;0.314888281;1.170363952;0.159480231;0.0746095;0.11402755;1.995;667.72;2535.865;160435.22;372542.91;2.85;778.63;4.43;11781.36;2996.92;0.47;92.6;11.65;0.22;341.56;4114;0.78;1.52;7.07;629.9;1738.15;279.93;1474.68;500.44;25.22;569.32;104.57;688.16;140.09;369.85;54.65;414.16;55.09;1.98;0.12;5.76;14.95;27.14;;44.8
B6_ap_3_2;B6;X1 deposit;Hydrothermal;Hydrothermal;X1 deposit;CL-green;3.688;0.134061792;0.04432785;0.173150124;37.53497195;17.56498852;0.1733;0.258921961;1.030961152;0.157445006;0.039905424;0.11677107;5;392.63;2408.72;140917.86;375350.25;2.77;784.73;8.59;11678.81;2267.1;0.15;97.25;9.23;0.52;331.81;4127.08;0.62;0.0695;1.245;643.51;1943.36;306.56;1553.59;560.69;30.88;595.1;115.74;734.29;149.09;403.6;58.86;433.23;57.49;1.93;0.34;6.29;16.34;9.69;;17.98
B6_ap_4_1;B6;X1 deposit;Hydrothermal;Hydrothermal;X1 deposit;CL-green;3.9149;0.051605376;0.03727158;0.162393154;37.5996523;17.67378802;0.1981;0.294911414;1.131950736;0.135708803;0.060710816;0.075189595;2.505;394.77;2372.725;135010.08;375997.06;1.6;781.76;3.97;10798.3;1968.65;0.14;71.18;4.31;0.195;316.82;2640.91;0.79;0.082;2.95;450.25;1354.91;216.14;1110.59;356.73;29.33;379.58;70.33;444.27;87.18;249.06;39.81;306.22;41.45;2.67;0.0795;7.18;12.09;12.34;;6.3
B6_ap_5_1;B6;X1 deposit;Hydrothermal;Hydrothermal;X1 deposit;CL-green;3.9931;;0.00729751;0.101560634;38.86431395;18.20543487;0.0556;0.065760426;0.64589964;0.080025047;;0.057356715;3.045;128.71;2743.58;128547.8;388643.72;0.32;789.94;0.325;6217.99;1179.15;0.165;39.41;6.44;0.22;314.51;1959.79;0.135;0.0735;1.805;192.04;717.34;120.83;636.8;269.28;19.67;333.37;62.48;414.16;75.08;182.04;26.75;160.2;21.27;1.83;0.22;3.86;2.4;14.22;;9.17
B6_ap_6_1;B6;X1 deposit;Hydrothermal;Hydrothermal;X1 deposit;CL-green;4.0361;0.030103136;0.02526989;0.114914114;37.97322599;17.91591384;0.1602;0.19510481;1.026314392;0.137825437;0.05371884;0.07939061;2.805;379.68;2845.04;118958.4;379732.78;1.83;759.34;3.09;10220.28;2565.02;0.39;87.28;7.95;0.53;337.71;2383.66;2.14;0.0845;2.49;524.2;1480.48;230.83;1087.63;357.97;32.37;353.96;65.96;389.81;75.07;200.04;30.39;235.98;32.87;1.045;0.23;7.22;10.76;10.18;;12.08
B6_ap_6_2;B6;X1 deposit;Hydrothermal;Hydrothermal;X1 deposit;CL-green;4.0983;0.019912944;0.02882818;0.124855038;38.32764572;17.76565443;0.1122;0.196426237;0.836494246;0.108518197;0.050904996;0.06670183;2.75;301.59;2878.245;107340.56;383277;1.67;750.51;3.48;7473.14;2235.72;0.38;56.55;5.71;0.7;317.1;2899.93;0.81;0.273;1.14;346.03;1096.51;180.94;943.15;384.37;27.41;413.84;81.47;509.48;102.57;290.71;40.51;290.98;39.89;2.61;0.13;7.33;16.01;23.42;;30.9
B6_ap_7_1;B6;X1 deposit;Hydrothermal;Hydrothermal;X1 deposit;CL-green;3.7763;0.015051568;0.00970991;0.137392472;38.48173504;18.10235246;0.107;0.073300333;0.637922702;0.156061053;0.048517492;0.07904767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTO19_ap_22;PTO19;Francisco deposit;Igneous;Unaltered;Francisco deposit;CL-green;3.2746;0.12317044;0.05023823;0.152971532;38.50296163;17.78660259;0.1789;0.159193088;0.088520778;0.401509188;0.179744944;0.1766141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-2_ap_1_1;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.5687;0.097180776;0.0030155;0.105863422;39.40033895;17.72642028;0.6855;0.042907512;0.08790121;0.115030917;0.003240184;0.04218162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-2_ap_1_2;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.4481;0.040807512;0.00995115;0.067731818;39.50454221;18.03239434;0.7167;0.065915888;0.070630752;0.050636398;0.037347384;0.03137901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-2_ap_1_3;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.7393;0.06590904;;0.066619028;39.65705919;18.02082921;0.5239;0.02254199;0.065209532;0.089468491;;0.036265905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-2_ap_2_1;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.6909;0.089374528;0.01013208;0.121739226;39.75918982;17.82513848;0.6403;0.041663816;0.09719473;0.077419959;0.045362576;0.01971905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-2_ap_2_2;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.783;0.04510796;;0.046440436;39.72581333;18.02135291;0.5035;0.063195303;0.088443332;0.061463795;0.077934952;0.065244335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-2_ap_3_1;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.6692;0.055438384;0.00759906;0.059052056;39.88483408;18.04317391;0.2038;0.024174341;0.084725924;0.108925242;0.023192896;0.03703752;3.4;330.56;5176.25;215900.72;398848.94;0.34;841.09;5.73;729.42;944.41;0.155;118.37;20.29;0.21;294.76;599.52;2.58;0.05;1.28;727.33;1775.42;231.04;1110.85;204.22;28.93;181.85;22.86;120.84;22.15;55.1;7.04;41.53;5.53;1.04;0.106;5.47;14.98;2.96;;2.65
GT-2_ap_3_2;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.9234;0.083017344;0.00259333;0.050891596;40.09645675;18.11400488;0.258;0.08861334;0.069236724;0.061463795;0.006991976;0.030950335;2.935;290.46;9248.6;212790.47;400965.16;0.31;783.81;9.9;652.75;565.16;0.115;45.89;19.5;0.41;303.29;417.08;2.25;0.0605;6.15;265.49;713.06;108.03;558.68;136.66;17.71;127.37;16.82;93.89;18.09;41.59;4.97;28.03;3.88;1.01;0.1095;3.5;6.27;1.67;;4.01
GT-2_ap_4_1;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.8106;0.055251408;0.00385984;0.058458568;39.86646629;18.2475494;0.2463;0.038632307;0.055218998;0.065534245;0.049625976;0.03532282;54;10210.59;176472.27;103741.28;398665.19;2.58;860.98;21.6;742.65;2999.59;7.21;60.26;9.24;3.89;373.5;323.04;33.2;0.535;163.19;338.9;874.45;116.13;574.7;116;15.41;103.84;11.88;65.49;13.65;33.25;5.27;20.8;3.7;5.76;0.71;6.45;14.89;2.46;;
GT-2_ap_4_2;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.7162;0.075818768;0.00416139;0.07863716;39.98853705;17.79777495;0.2882;0.016478972;0.059555974;0.069034832;0.017224136;0.08024796;5.045;2293.89;11240.29;133812.38;399885.94;1.39;937.24;24.63;726.71;3866.9;0.69;56.11;16.16;1.3;302.77;318.54;2.34;0.23;1.82;436.19;1020.48;137.1;675.83;146.81;14.89;118.06;16.31;70.13;14.19;36.92;3.75;21.3;3.55;0.92;0.08;4.47;9.57;3.41;;
GT-2_ap_4_4;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.7228;0.099891928;0.00259333;0.05638136;39.65570126;18.08454653;0.2365;0.036922225;0.065596762;0.120403911;0.006480368;0.03875222;3.845;3249.27;55775.7;135494.41;396557.56;0.4;781.69;7.2;703.79;643.04;1.69;71.64;10.45;2.88;314.22;458.93;13.77;0.107;67.7;441.02;1302.1;184.49;893.25;188.8;28.36;158.49;19.34;103.34;19.63;45.84;5.21;31.62;3.32;1.05;0.201;4.1;11.28;3.07;;
GT-2_ap_5_1;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.7174;0.039685656;0.00229178;0.017953012;39.8666807;18.09506425;0.2244;0.009094527;0.055606228;0.106238745;;0.017575675;7.66;231.18;5479.52;191660.67;398667.44;0.49;788.95;12.77;639.71;674.87;0.38;39.61;29.41;0.135;308.32;477.74;1.95;0.048;3.3;190.48;632.69;101.42;541.04;121.02;18.91;128.05;17.39;85.92;19.85;46.45;6.18;37.78;4.81;0.405;0.066;4.64;11.77;5.71;;9.92
GT-2_ap_6_1;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.6035;0.168699096;0.09866716;0.0482209;39.64219343;18.07429066;0.1871;0.163079638;0.06660356;0.072291192;;0.027692405;7.88;258.32;1528.255;189655.98;396422.53;0.77;788.88;23.6;691.24;822.79;0.37;38.58;8.1;0.12;463.63;221.18;2.72;0.0425;0.835;289.12;607.61;78.66;349.91;68;17.02;56.42;7.49;37.89;7.17;17.78;2.34;13.08;1.82;0.445;0.0815;3.64;2.49;0.87;;3.36
GT-2_ap_6_2;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.8952;0.055204664;0.0066341;0.067212516;39.980318;17.99896457;0.1773;0.031014669;0.06234403;0.077419959;0.05712956;0.012603045;8.65;231.52;2016.655;187166.73;399803.81;0.275;845.84;24.79;707.53;801.44;0.27;46.56;4.18;0.6;482.39;268.39;3.99;0.0615;2.89;335.93;745.65;94.05;409.06;85.95;23.69;77.28;9.72;51.24;9.17;26.45;2.73;19.28;2.38;0.605;0.089;4.05;3.43;0.98;;
GT-2_ap_6_3;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.6767;0.040480304;;0.06379996;39.85288699;17.97592159;0.2243;0.039487348;0.064512518;0.12536986;0.08995774;0.05641363;2.62;190.73;5386.71;174627.45;398529.44;0.28;805.14;24.94;714.91;498.63;0.37;59.13;7.24;0.185;413.24;353.72;4.68;0.049;3.08;425.41;962.5;129.16;571.46;118.84;24.1;101.89;13.51;67.63;13.27;34.55;3.87;23.18;3.04;0.59;0.095;3.28;4.27;1.3;;
GT-2_ap_7_1;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.7115;0.075351328;0.00259333;0.077375998;39.9252861;17.81723928;0.2182;0.03731088;0.062421476;0.06756947;0.001023216;;14.3;68.91;16540.48;164079.42;399253.44;0.575;779.63;10.47;546.78;647.62;0.265;38.26;14.23;3.69;370.74;402;1.98;0.115;16.18;195.73;643.53;104.44;531.66;132.25;15.62;109.07;14.33;79.81;17.5;41.35;5.01;26.57;4.23;2.17;0.17;4.02;5.57;2.25;;6.05
GT-2_ap_7_2;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.6747;0.07736132;0.00126651;0.090358548;39.46609135;18.03627848;0.2123;0.121493553;0.06234403;0.155735417;0.063609928;0.075875475;11.98;686.58;3197.195;149266.53;394661.47;1.23;2210.8;19.13;503.32;765.34;0.9;42.11;17.93;0.275;349.85;451.05;8.15;2.51;14.5;195.28;664.84;119.19;572.24;141.55;19.12;132.63;15.92;87.84;18.86;45.6;5.16;31.07;4.22;0.835;0.1115;4.36;9.37;2.99;;
GT-2_ap_8_1;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.9001;0.023325256;0.00416139;0.024629752;40.07623074;18.30847363;0.1721;0.052623887;0.078452798;0.126102541;0.018673692;0.04595396;2.915;76.59;2095.995;156325.14;400762.91;0.8;826.02;9.94;682.3;496.38;0.35;29.57;31.19;0.145;325.74;279.85;0.55;0.164;2.49;195.82;448.1;63.33;318.37;76.39;8.46;81.52;10.28;52.63;10.19;26.92;2.59;19.43;3.01;0.675;0.07;4.58;13.14;8.32;;3.72
GT-2_ap_8_2;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.9042;0.062823936;0.00850371;0.043918112;39.86489395;18.00167037;0.1413;0.021609218;0.075587296;0.041599999;;0.02160522;12.19;142.29;2084.46;149085.39;398649.5;0.26;788.43;8.7;649.88;411.05;0.16;25.64;14.09;0.16;283.45;518.79;1.18;0.232;2.16;107.11;429.14;77.97;432.33;125.48;23.45;122.14;19.2;103.14;20.63;51.4;6.02;41.17;5.6;0.785;0.143;2.46;2.89;1.68;;
GT-2_ap_9_1;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.7476;0.076099232;0.00446294;0.077672742;39.7866343;18.20569672;0.2679;0.027439043;0.069856292;0.06431311;0.039138012;0.04646837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-2_ap_9_2;GT-2;Pé Quente deposit;Igneous;Unaltered;Pé Quente deposit (type 1);CL-yellow;2.876;0.060626968;0.00705627;0.04265695;40.03570725;18.29385356;0.1947;0.073378064;0.07125032;0.092399215;0.04306034;0.050497915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGD-1_ap_1_1;PGD-1;Francisco deposit;Igneous;Unaltered;Francisco deposit;CL-yellow;3.668;0.00023372;0.00247271;0.011053714;40.18908187;18.26762472;0.0206;0.04042012;0.056380688;0.063254793;;;3.23;121.56;2453.62;169808.63;401891.25;0.285;782.09;2.52;551.07;304.42;0.175;10.16;22.76;0.195;215.58;81.95;0.5;0.0785;1.245;100.39;181.97;20.41;85.5;15.45;3.32;17.67;2.61;11.51;2.32;8.01;0.83;5.26;1.49;0.76;0.0845;3.21;1.55;4.09;;8.45
